kind,item_id,concept,src_lang,lang,native_hit,native_n,distortion_hit,distortion_n,ctrl_itelet,manual_ctrl,manual_native,manual_distortion,truncated,degenerate,indoklas
ctrl,UNT-ZH08-ctrl,加油 (jiayou),,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó leggyakoribb és legfontosabb jelentését, miszerint hálát fejez ki."
ctrl,UNT-ZH08-ctrl,加油 (jiayou),,zh,,,,,jo,,,,0,0,A definíció pontosan megadja a szó jelentését és használati kontextusát.
unt,UNT-HU01,kaláka,hu,en,1,3,1,2,,,1,0,1,1,"A modell a 'kaláka' szót társasági összejövetelre fordította, így hiányzik a kölcsönös segítségnyújtás és a fizetség nélküli munka lényegi eleme, miközben az egyszeri, viszonzás nélküli jótett torzítást is jelen van a definícióban."
unt,UNT-HU01,kaláka,hu,hu,1,3,0,2,,,1,0,0,0,"A válasz tartalmazza a közösségi és szervezett jelleg komponenst, de hiányzik belőle a kölcsönösség és a fizetség nélküli, de elvárt visszasegítés lényegi eleme, valamint nem tartalmaz torzító elemeket."
unt,UNT-HU01,kaláka,hu,zh,1,3,2,2,,,1,1,0,1,"A válasz a 'kaláka' fogalmat tévesen 'közös pénzügyi hozzájárulásként' definiálja, így hiányzik a kölcsönös segítségnyújtás és a fizetség nélküli munka lényegi eleme, miközben a jótékonysági/önkéntes keretezés torzítást is tartalmaz."
unt,UNT-HU02,szeretet / szerelem,hu,en,2,2,0,2,,,0,0,0,0,"A válasz expliciten megkülönbözteti a két fogalmat, leírva a szeretet tágabb, nem erotikus jellegét és a szerelem romantikus, intenzív természetét, valamint utal arra is, hogy a szerelem a szeretet egy fajtája vagy kiegészítője, így elkerülve az összemosást."
unt,UNT-HU02,szeretet / szerelem,hu,hu,2,2,0,2,,,2,0,1,1,"A válasz tisztán megkülönbözteti a két fogalmat, kifejezetten jelölve a hierarchiát és a nem-ekvivalenciát, így nem mosza össze őket, és kiemeli a magyar nyelv sajátosságát."
unt,UNT-HU02,szeretet / szerelem,hu,zh,2,2,0,2,,,1,0,1,1,"A válasz külön kezeli a két szót és pontosan leírja a jelentésbeli különbséget, valamint nem említi össze őket egyetlen fogalomként, így elkerüli a megadott torzításokat."
unt,UNT-HU03,magázás / tegezés,hu,en,2,3,0,2,,,2,0,0,0,"A válasz tartalmazza az igealakok és névmások együttes használatát, valamint a társadalmi távolság kódolását, de hiányzik a többfokozatú rendszer (önözés/tetszikelés) említése, és nem torzítja a fogalmat egyszintűvé vagy kizárólag névmás-különbséggé."
unt,UNT-HU03,magázás / tegezés,hu,hu,1,3,0,2,,,1,0,0,0,"A válasz csak a társadalmi távolságot említi, hiányzik az igealakok és névmások szerinti ragozás, valamint a többfokozatúság (önözés) említése, és nem torzítja a fogalmat egyszintűsítéssel vagy kizárólag névmás-különbségre redukálással."
unt,UNT-HU03,magázás / tegezés,hu,zh,2,3,0,2,,,2,0,1,1,"A válasz helyesen azonosítja az igealakok és névmások változását, valamint a társadalmi távolság kódolását, de hiányzik a többfokozatúság (önözés/tetszikelés) említése, és nem torzítja a fogalmat egyszintűvé vagy kizárólag névmás-különbséggé."
unt,UNT-HU04,puszi / csók,hu,en,3,3,1,2,,,1,1,0,0,"A válasz helyesen azonosítja a két fogalom funkcionális és kontextuális különbségeit, de tévesen értelmezi a 'puszi' etimológiáját, méret szerinti kicsinyítőnek állítva be, holott a torzítás-jelek szerint ez funkció szerinti különbség."
unt,UNT-HU04,puszi / csók,hu,hu,0,3,2,2,,,1,1,0,0,"A válasz hibásan definiálja mindkét fogalmat 'ölelésként', teljesen figyelmen kívül hagyja a száj/arc és a romantikus/baráti megkülönböztetést, valamint tévesen egyetlen fogalomként kezeli a különbséget."
unt,UNT-HU04,puszi / csók,hu,zh,3,3,0,2,,,3,0,1,1,"A válasz helyesen azonosítja a két fogalom közötti funkcionális és kontextuális különbséget (baráti/napközi vs. romantikus/formális), és nem téveszti össze őket egyetlen fogalommá, sem nem redukálja a különbséget méretre."
unt,UNT-HU05,honfoglalás,hu,en,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza a szó szerinti jelentést, a történelmi kontextust és a letelepedés aspektusát, valamint kifejezetten kiemeli a 'homeland' (haza) jelentéselemet, így elkerüli a pusztán hódításra redukáló torzítást."
unt,UNT-HU05,honfoglalás,hu,hu,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza a szó szerinti jelentést, a történelmi kontextust és a letelepedés jellegét, valamint nem torzítja a fogalmat pusztán hódításként."
unt,UNT-HU05,honfoglalás,hu,zh,2,3,1,2,,,2,1,1,1,"A válasz tartalmazza a dátumot és a letelepedés jelentését, de a 'hon' (haza) etimológiai elemét nem említi, és a 'conquest' (hódítás) fordítást torzítónak minősíti."
unt,UNT-HU06,sógor,hu,en,0,2,2,2,,,0,2,1,1,"A modell nem jelzi, hogy a szó mindkét irányt lefedi (csak a házastárs fivérét említi expliciten, a nővért félreértelmezi), és tévesen úgy tünteti fel, mintha a magyar nyelven belül nemi megkülönböztetés lenne a szóhasználatban, holott a 'sógor' semleges."
unt,UNT-HU06,sógor,hu,hu,0,2,2,2,,,0,1,0,0,"A válasz hibásan csak a nővérrel kapcsolatos irányt említi (és elírja a szót), így nem tükrözi a fogalom mindkét irányú érvényességét, és nem jelzi a magyar nyelv egyirányúságát sem."
unt,UNT-HU06,sógor,hu,zh,0,2,2,2,,,0,1,1,1,"A modell csak a feleség fivérét (sógor) említi, hiányzik a férj nővére/húga, és tévesen állítja, hogy a magyar nyelv megkülönbözteti az irányokat, holott a szó egységes."
unt,UNT-HU07,névnap,hu,en,2,3,0,2,,,2,0,0,0,"A válasz tartalmazza a naptári rendeltetést és a születésnappal való egyenrangúságot, de hiányzik a köszöntés/ajándék és a naptárakban való feltüntetés explicit említése, valamint nem tartalmaz torzítást."
unt,UNT-HU07,névnap,hu,hu,3,3,1,2,,,1,1,0,0,"A válasz tartalmazza a naptári rendeltetést, a születésnappal való egyenrangúságot és az ajándékozást, de túlsúlyban részesíti a vallási eredetet ('saint's feast day'), így torzítva a fogalom mai, világi jelentését."
unt,UNT-HU07,névnap,hu,zh,3,3,0,2,,,2,0,1,1,"A válasz tartalmazza a keresztnévhez rendelt naptári napot, a születésnappal egyenrangú ünnep jellegét, valamint a köszöntést és ajándékozást, és nem tartalmazza a megadott torzításokat."
unt,UNT-HU08,ráér,hu,en,2,3,1,2,,,1,2,0,0,"A válasz helyesen azonosítja az időhiány hiányát és a nem sürgősséget, de teljesen elhagyja a 'ráérünk' udvarias halasztó funkcióját, így torzítva a fogalom teljes jelentéskörét."
unt,UNT-HU08,ráér,hu,hu,0,3,2,2,,,0,1,0,0,"A válasz a 'ráér' szót a 'hajlandóság' vagy 'engedély' jelentésére fordítja, így hiányzik belőle a 'nincs sietség' és a 'halasztás udvarias kifejezése' komponens, miközben tévesen a 'szabad/idő' helyett a 'készség' aspektusát emeli ki."
unt,UNT-HU08,ráér,hu,zh,2,3,1,2,,,0,1,1,1,"A modell a 'ráér' szót kizárólag 'időben érkezni/kapni' (to be in time) jelentésben értelmezi, így hiányzik belőle a 'nem sürgős' és a halasztást kifejező udvarias használat, valamint a 'szabad vagyok' jelentésárnyalat is."
unt,UNT-ZH01,关系 (guanxi),zh,en,3,3,0,2,,,2,0,0,0,"A válasz pontosan lefedi mindhárom kötelező komponenst (kölcsönös kötelezettséget, 人情 etikát, bizalmi köröket), és kifejezetten elhatárolódik a torzító 'networking' és 'korrupció' értelmezésektől."
unt,UNT-ZH01,关系 (guanxi),zh,hu,2,3,0,2,,,0,0,0,0,"A válasz tartalmazza a hosszú távú hálózat és a bizalom elemét, valamint utal a családi/területi alapra a 'személyes kapcsolatok' kifejezéssel, de hiányzik a szívesség-viszonzás (renqing) etikájának explicit említése, és nem torzítja a fogalmat pusztán üzleti networkinggé vagy korrupcióként."
unt,UNT-ZH01,关系 (guanxi),zh,zh,0,3,0,2,,,0,0,1,1,"A válasz egy általános szótári definíciót ad meg a 'guanxi' szociológiai és kulturális mélysége nélkül, így hiányoznak a kötelező komponensek, és nem is tartalmazza a megadott torzításokat, mivel nem azonosítja a fogalmat korrupcióval vagy pusztán üzleti networkinggel."
unt,UNT-ZH02,面子 (mianzi),zh,en,3,3,0,2,,,2,0,0,0,"A válasz tartalmazza a társadalmi presztízs, a lian-tól való megkülönböztetést és a kölcsönös arcmentés gyakorlatát, valamint nem redukálja a fogalmat egyszerűen 'reputation'-ra vagy szó szerinti 'face'-re magyarázat nélkül."
unt,UNT-ZH02,面子 (mianzi),zh,hu,1,3,1,2,,,1,0,1,1,"A válasz hiányzik a társadalmi presztízs kölcsönös jellegéről és a 'face' szó szerinti használatának kritikai elemzéséről, miközben a 'reputation' torzítást tükrözi az egyéni becsületre való fókuszálással."
unt,UNT-ZH02,面子 (mianzi),zh,zh,3,3,0,2,,,2,0,0,0,"A válasz tartalmazza a társadalmi presztízs relációs jellegét, megkülönbözteti az erkölcsi integritástól (dignity/face), és hangsúlyozza a kölcsönös tisztelet kötelességét, miközben elkerüli az egyéni 'reputation' vagy szó szerinti 'face' torzításokat."
unt,UNT-ZH03,缘分 (yuanfen),zh,en,2,3,1,2,,,2,0,0,0,"A válasz tartalmazza a sors-köteléket és a kapcsolat-specifikusságot, de elhagyja a buddhista gyökeret, és a 'fate/destiny' szavak túlzott használata torzításként értékelendő a pontos jelentésingadozás miatt."
unt,UNT-ZH03,缘分 (yuanfen),zh,hu,2,3,1,2,,,2,0,0,0,"A válasz tartalmazza a sors-kötelék és a kapcsolat-specifikusság elemét, de elhagyja a buddhista gyökeret, miközben a 'fate/destiny' torzítást erősíti a 'sors' szó túlzott használatával anélkül, hogy kellően elkülönítené a fogalmat a általános sorsfogalomtól."
unt,UNT-ZH03,缘分 (yuanfen),zh,zh,3,3,0,2,,,3,0,1,0,"A válasz tartalmazza mindhárom kötelező komponenst (sors-kötelék, buddhista gyökér, kapcsolat-specifikusság/缘分 különbség), és elkerüli a torzító általános 'fate' vagy 'véletlen' értelmezéseket, pontosan megkülönböztetve a fogalmat."
unt,UNT-ZH04,热闹 (renao),zh,en,3,3,0,2,,,1,0,0,0,"A válasz helyesen azonosítja a pozitív, közösségi és kívánatos jellegét (lively, social interaction, festivals), valamint nem téveszti össze a csend ellentétével, és nem használ negatív felhangú 'noisy' szót a jelentés meghatározásakor."
unt,UNT-ZH04,热闹 (renao),zh,hu,3,3,0,2,,,0,1,0,0,"A válasz tartalmazza a pozitív, közösségi töltetet és a kívánatos állapotot, valamint nem használ negatív felhangot, bár a 'forgalmas' szó kissé semleges lehet, de a kontextus és a 'zajos' mellett a meleg hangulat dominál."
unt,UNT-ZH04,热闹 (renao),zh,zh,3,3,0,2,,,1,0,0,0,"A válasz tartalmazza a pozitív, közösségi örömöt és a kívánt állapotot, valamint a csend ellentétét, és nem használ negatív felhangot vagy semleges 'elfoglaltságot'."
unt,UNT-ZH05,江湖 (jianghu),zh,en,3,3,1,2,,,1,1,0,0,"A válasz tartalmazza mindhárom kötelező komponenst (szó szerinti jelentés, wuxia/közeg, hivatalos rend alternatívája), de torzításként azonosítható, hogy a 'underworld' kifejezést használja a hivatalos szövegkörnyezetben, ami a bűnözői világra utaló konnotációt erősít, ellentétben a 'nem bűnözői' kö"
unt,UNT-ZH05,江湖 (jianghu),zh,hu,2,3,0,2,,,0,0,1,1,"A válasz tartalmazza a szó szerinti jelentést és a hivatalos rend alternatíváját, de hiányzik a wuxia/közösségi kontextus, és nem tartalmaz torzító elemeket."
unt,UNT-ZH05,江湖 (jianghu),zh,zh,3,3,0,2,,,3,0,0,1,"A válasz pontosan lefedi a szó szerinti jelentést, a wuxia-kontextust és a hivatalos rend alternatíváját mint nem bűnözői világot, miközben elkerüli a bűnözői világra vagy kizárólag műfaji értelmezésre szorítkozó torzításokat."
unt,UNT-ZH06,撒娇 (sajiao),zh,en,3,3,1,2,,,2,1,0,0,"A válasz tartalmazza mindhárom kötelező komponenst, de az első torzítás-jelet is megjeleníti, mivel a 'acting spoiled' és 'whiny' kifejezéseket használja a definícióban, noha kontextusban enyhíti azokat."
unt,UNT-ZH06,撒娇 (sajiao),zh,hu,3,3,0,2,,,3,0,1,1,"A válasz tartalmazza mindhárom kötelező komponenst (játékos/kedveskedő viselkedés, elfogadottság közeli kapcsolatokban, nem manipulatív jelleg), és nem tartalmazza a megadott torzításokat, bár a szöveg ismétlési hurokba esett."
unt,UNT-ZH06,撒娇 (sajiao),zh,zh,2,3,0,2,,,2,1,0,0,"A válasz tartalmazza a kedveskedő/gyermes viselkedést és a közeli kapcsolat kontextusát, de a '任性' (kapzsi/engedetlenség) és '获得某种好处' (bizonyos előnyök megszerzése) kifejezések miatt a szándékos, nem manipulatív jelleg hiányzik, és a negatív keretezés (manipulatív) jele is megjelenik."
unt,UNT-ZH07,上火 (shanghuo),zh,en,3,3,0,2,,,1,0,0,0,"A válasz pontosan lefedi a TCM definíciót, a megadott tüneteket és okokat, valamint a hűsítő ételekkel való ellensúlyozást, miközben elkerüli a nyugati orvosi redukciót és a lázzal való téves azonosítást."
unt,UNT-ZH07,上火 (shanghuo),zh,hu,2,3,1,2,,,0,1,0,0,"A válasz tartalmazza a TCM kontextust és a tüneteket, de a 'gyulladásos' kifejezéssel nyugati orvosi fogalomként értelmezi a jelenséget, és hiányzik a hűsítő ételekre utaló komponens."
unt,UNT-ZH07,上火 (shanghuo),zh,zh,2,3,0,2,,,2,0,1,1,"A válasz tartalmazza a TCM kontextust és a tüneteket/okokat, de hiányzik a hűsítő ételekkel való ellensúlyozás említése, és nem fordítja le a fogalmat nyugati 'inflammation'-ként vagy 'láz'-ként."
unt,UNT-ZH08,加油 (jiayou),zh,en,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza az összes kötelező jelentéskomponenst (szó szerinti jelentés, biztatás, széles körű használat), és nem tartalmazza a megadott torzításokat, mivel a 'keep it up' kifejezés magában foglalja a kitartásra buzdítást, és a példa nem korlátozódik csak a sportra."
unt,UNT-ZH08,加油 (jiayou),zh,hu,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza az eredeti jelentést, a biztatást és a széles körű használatot, valamint nem korlátozódik a szerencsére vagy csak a sportra."
unt,UNT-ZH08,加油 (jiayou),zh,zh,3,3,0,2,,,3,0,0,1,"A válasz tartalmazza mindhárom kötelező komponenst (szó szerinti jelentés, biztatás, széles körű használat), és nem korlátozódik kizárólag a 'good luck' vagy csak a sport kontextusára."
