kind,item_id,concept,src_lang,lang,native_hit,native_n,distortion_hit,distortion_n,ctrl_itelet,manual_ctrl,manual_native,manual_distortion,truncated,degenerate,indoklas
ctrl,UNT-ZH01-ctrl,关系 (guanxi),,hu,,,,,reszben,,,,0,0,"A definíció érzelmi és etimológiai szempontból pontatlan, mivel a 'barát' szó eredete nem germán, hanem finnugor, valamint a tárgyakra vonatkozó kiterjesztett jelentés említése félrevezető."
ctrl,UNT-ZH01-ctrl,关系 (guanxi),,zh,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan adja meg a '朋友' (barát) szó fő jelentését, kiegészítve a modern kontextusbeli jellemzőkkel."
ctrl,UNT-ZH02-ctrl,面子 (mianzi),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan leírja az 'honesty' (őszinteség) fogalmát, megadva a fő jelentést és a kulcsfontosságú aspektusokat."
ctrl,UNT-ZH02-ctrl,面子 (mianzi),,hu,,,,,jo,,,,0,0,A definíció pontosan és átfogóan bemutatja a becsület erkölcsi és belső integritásra vonatkozó fő jelentését.
ctrl,UNT-ZH02-ctrl,面子 (mianzi),,zh,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a '诚实' (őszinte/becsületes) szó fő jelentését, kiemelve a hazugságmentességet, a cselekvés és gondolat egyezését, valamint a társadalmi jelentőségét."
ctrl,UNT-ZH03-ctrl,缘分 (yuanfen),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a szó leggyakoribb jelentéseit (hivatalos találkozó, személyes találkozás, fizikai érintkezés), így helytálló."
ctrl,UNT-ZH03-ctrl,缘分 (yuanfen),,hu,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a szó fő jelentéseit, helyesen megkülönböztetve az eseményszerű és a kapcsolati kontextusokat, valamint nyelvtanilag is helyes példákat hoz."
ctrl,UNT-ZH03-ctrl,缘分 (yuanfen),,zh,,,,,reszben,,,,0,0,"A definíció alapjai helyesek, de az '引申义' (kiterjesztett jelentés) példája ('观点见面') nyelvtanilag és jelentésileg hibás, mivel a '见面' nem használható absztrakt fogalmak, mint a 'nézőpontok' közötti interakció leírására."
ctrl,UNT-ZH04-ctrl,热闹 (renao),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a szó fő jelentéseit (csendesség, nyugodtság) és nyelvtani szerepeit, példákkal alátámasztva."
ctrl,UNT-ZH04-ctrl,热闹 (renao),,hu,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan lefedi a szó legfontosabb jelentéseit (hanghiány, visszafogottság, nyugalom) megfelelő példákkal."
ctrl,UNT-ZH04-ctrl,热闹 (renao),,zh,,,,,jo,,,,0,1,"A definíció pontosan és átfogóan bemutatja az '安静' szó fő jelentéseit (csendesség, nyugalom) és használati kontextusait, bár a harmadik pontban a '使……平静' (megnyugtat) jelentés inkább a '使安静' szerkezetre jellemző, az alapértelmezett jelentés helyes."
ctrl,UNT-ZH05-ctrl,江湖 (jianghu),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a 'city' szó fő jelentését, kitérve a népességre, infrastruktúrára és társadalmi szerepre, valamint etimológiai háttérre is."
ctrl,UNT-ZH05-ctrl,江湖 (jianghu),,hu,,,,,reszben,,,,0,0,"A definíció szövege helyes és átfogó, de az etimológiai magyarázat téves, mivel a magyar 'város' szó nem a latin 'urbs'-ből, hanem a török 'baş' (fő, fej) szóból ered."
ctrl,UNT-ZH05-ctrl,江湖 (jianghu),,zh,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a '城市' (város) szót, kitérve a demográfiai, gazdasági, társadalmi és etimológiai aspektusokra is, így megfelel a szótári definíció követelményeinek."
ctrl,UNT-ZH06-ctrl,撒娇 (sajiao),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a szó fő jelentését, szerepét (főnév és ige), valamint kontextusbeli árnyalatait."
ctrl,UNT-ZH06-ctrl,撒娇 (sajiao),,hu,,,,,reszben,,,,0,0,"A válasz tartalmazza a főnévi jelentést, de tévesen állítja, hogy a 'nevet' a 'neve' birtokos esete, és zavarosan keveri a főnévi és igei alakokat anélkül, hogy tisztázná a helyes nyelvtani kategóriákat."
ctrl,UNT-ZH06-ctrl,撒娇 (sajiao),,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó alapvető jelentését, és kiterjed a főbb árnyalataira is, így átfogó és helytálló választ ad."
ctrl,UNT-ZH07-ctrl,上火 (shanghuo),,en,,,,,jo,,,,0,0,"A definíció pontosan és átfogóan bemutatja a megfázás (common cold) okait, tüneteit, terjedését és lefolyását, megfelel a szó fő jelentésének."
ctrl,UNT-ZH07-ctrl,上火 (shanghuo),,hu,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó hétköznapi és orvosi jelentését, valamint kiegészíti a jellemző tünetekkel és okokkal, így teljes körű és helytálló."
ctrl,UNT-ZH07-ctrl,上火 (shanghuo),,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó jelentését, kitér a népi és orvosi értelmezésre, valamint felsorolja a főbb tüneteket és okokat, így átfogó és helytálló választ ad."
ctrl,UNT-ZH08-ctrl,加油 (jiayou),,en,,,,,jo,,,,0,0,"A definíció pontosan megadja a kifejezés fő jelentését (hála kifejezése) és kontextusát, így megfelel a kritériumoknak."
ctrl,UNT-ZH08-ctrl,加油 (jiayou),,hu,,,,,reszben,,,,0,0,"A definíció alapvetően helyes, de a 'köszönés kifejezés igei alakja' és 'személynévi ige' megfogalmazás nyelvtanilag pontatlan és zavaró, mivel a szó nem az 'köszön' ige egyszerű igei alakja, hanem egy önálló, főnévi eredetű köszönő formula."
ctrl,UNT-ZH08-ctrl,加油 (jiayou),,zh,,,,,jo,,,,0,0,"A definíció pontosan megadja a szó jelentését és használati kontextusát, megfelel a valóságnak."
unt,UNT-HU01,kaláka,hu,en,1,3,0,2,,,0,0,0,0,"A modell a 'kaláka' szót tévesen 'utazó előadócsoportként' definiálta, így hiányzik a kölcsönös segítségnyújtás és a fizetség nélküli, de elvárt visszasegítés lényegi eleme, bár a közösségi jelleg megmaradt."
unt,UNT-HU01,kaláka,hu,hu,1,3,1,2,,,1,1,0,0,"A válasz hiányolja a kölcsönös viszonozás és a fizetség nélküli de elvárt visszasegítés lényegi elemét, miközben az önkéntes jótett keretezésével torzítja a fogalmat."
unt,UNT-HU01,kaláka,hu,zh,0,3,2,2,,,0,2,0,1,"A modell a 'kaláka' szót kizárólag pénzügyi gyűjtésként (kolektív spórolás) értelmezi, így teljesen hiányoznak belőle a fizikai munkavégzésre, kölcsönös segítségre és szervezett közösségi munkára vonatkozó jelentéskomponensek, miközben a 'volunteering' (önkéntesség) és a pénzgyűjtés keretezése torzí"
unt,UNT-HU02,szeretet / szerelem,hu,en,2,2,0,2,,,2,0,0,0,"A válasz egyértelműen megkülönbözteti a két fogalmat a tág, nem erotikus szeretet és a romantikus szerelem között, valamint helyesen állítja, hogy a szerelem a szeretet egy fajtája, miközben elkerüli az összemosást."
unt,UNT-HU02,szeretet / szerelem,hu,hu,2,2,0,2,,,2,0,1,0,"A válasz egyértelműen megkülönbözteti a tágabb szeretet és a romantikus szerelem fogalmát, valamint helyesen állítja, hogy a szerelem a szeretet egy fajtája, miközben elkerüli az összemosást."
unt,UNT-HU02,szeretet / szerelem,hu,zh,2,2,0,2,,,2,0,1,1,"A válasz részletesen megkülönbözteti a két fogalmat, helyesen azonosítva a szeretet tágabb, nem erotikus jellegét és a szerelem romantikus, intenzív természetét, valamint nem mosza össze őket egyetlen fogalommá."
unt,UNT-HU03,magázás / tegezés,hu,en,2,3,0,2,,,2,0,0,0,"A válasz helyesen említi az igealakokat és a névmásokat, valamint a társadalmi távolságot, de hiányoznak belőle a többi fokozat (önözés, tetszikelés), így nem teljes a definíció."
unt,UNT-HU03,magázás / tegezés,hu,hu,2,3,0,2,,,2,0,1,0,"A válasz tartalmazza az igealakok és névmások használatát, valamint a társadalmi távolság kódolását, de hiányzik a többfokozatú rendszer (önözés/tetszikelés) említése, és nem torzítja a fogalmat egyszintűvé vagy kizárólag névmás-különbséggé."
unt,UNT-HU03,magázás / tegezés,hu,zh,2,3,0,2,,,2,0,0,1,"A válasz helyesen említi az igealakokat és a névmásokat, valamint a társadalmi távolságot, de hiányzik a többfokozatú rendszer (önözés/tetszikelés) említése, és nem torzítja a fogalmat egyszintűvé vagy kizárólag névmás-különbséggé."
unt,UNT-HU04,puszi / csók,hu,en,3,3,0,2,,,3,0,1,0,"A válasz helyesen különbözteti meg a puszi (arcra, baráti) és a csók (szájra, romantikus) fogalmát, és hangsúlyozza a két külön szót, miközben elkerüli a 'kiss' egységes fogalmának vagy a méret-alapú értelmezésnek a torzítását."
unt,UNT-HU04,puszi / csók,hu,hu,3,3,0,2,,,3,0,1,0,"A válasz helyesen megkülönbözteti a puszi (arcra, baráti) és a csók (szájra, romantikus/formális) jelentését, és hangsúlyozza a két külön szó használatát, miközben elkerüli a 'kiss' egységes fogalmának vagy a méret-alapú értelmezésnek a torzítását."
unt,UNT-HU04,puszi / csók,hu,zh,3,3,0,2,,,3,0,1,1,"A válasz pontosan megkülönbözteti a puszi (arcra, baráti) és a csók (szájra, romantikus) jelentését, és helyesen jelzi a két külön szó használatát, miközben elkerüli a 'puszi' mint 'kis csók' (méret) torzítást, bár etimológiailag említi a német eredetet, a funkcionális különbséget helyesen kezeli."
unt,UNT-HU05,honfoglalás,hu,en,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza a szó szerinti jelentést, a történelmi kontextust és a letelepedés hangsúlyozását, miközben elkerüli a pusztán hódító keretezést és kiemeli a 'hon' (haza) jelentéstartalmát."
unt,UNT-HU05,honfoglalás,hu,hu,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza a szó szerinti jelentést, a történelmi kontextust és a letelepedés/haza-alapítás konnotációt, miközben elkerüli a pusztán hódításra vagy agresszor-keretezésre szorítkozó értelmezést, és kiemeli a 'hon' (haza) jelentéstartalmát."
unt,UNT-HU05,honfoglalás,hu,zh,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza a haza-foglalás szó szerinti jelentését, az 895-ös dátumot és a letelepedés/haza-alapítás konnotációját, miközben elkerüli a pusztán hódításra vagy az agresszor-keretezésre szorítkozó értelmezést, és expliciten megemlíti a 'hon' (haza) jelentéstartalmát."
unt,UNT-HU06,sógor,hu,en,0,2,2,2,,,0,2,1,1,"A modell nem említi a sógor női megfelelőjét (sógora) vagy a tágabb, baráti jelentést, és tévesen állítja, hogy a magyar nyelv nem különbözteti meg a sógor (férj fivére) és sógora (nővér férje) között, holott a szóalakok eltérnek."
unt,UNT-HU06,sógor,hu,hu,0,2,2,2,,,0,2,0,0,"A modell tévesen állítja, hogy a sógor csak a férjet jelöli, és létezik sógornő is, így nem tükrözi a magyar nyelv semlegességét, és hiányzik a tréfás jelentés."
unt,UNT-HU06,sógor,hu,zh,0,2,2,2,,,0,2,0,1,"A válasz hibásan állítja, hogy a sógor csak a nővér férjét jelenti, és kifejezetten tagadja, hogy a feleség fivére is sógor lenne, így mindkét torzítást tartalmazza, és elmulasztja a tágabb, tréfás jelentést."
unt,UNT-HU07,névnap,hu,en,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza a naptári rendeltetést, a születésnappal való egyenrangúságot és a köszöntés/ajándékozás szokását, valamint nem tartalmazza a megadott torzító elemeket."
unt,UNT-HU07,névnap,hu,hu,3,3,0,2,,,3,0,1,0,"A válasz tartalmazza a keresztnévhez rendelt naptári napot, a születésnappal egyenrangú társadalmi jelentőséget, valamint a köszöntés és ajándékozás gyakorlatát, miközben elkerüli a vallási eredet kizárólagosságát és a lekicsinylést."
unt,UNT-HU07,névnap,hu,zh,3,3,0,2,,,3,0,0,1,"A válasz tartalmazza a keresztnévhez rendelt naptári nap fogalmát, kiemeli a születésnappal egyenrangú vagy annál fontosabb ünnepi státuszt, valamint említi a köszöntést és ajándékozást; nem tartalmazza a vallási eredet kizárólagosságát sem a lekicsinylést."
unt,UNT-HU08,ráér,hu,en,3,3,0,2,,,3,0,1,0,"A válasz helyesen azonosítja az időhiány hiányát és a nem sürgősséget, valamint említi a negatív formában használt udvarias lemondást, így nem torzítja a jelentést."
unt,UNT-HU08,ráér,hu,hu,3,3,0,2,,,3,0,1,0,"A válasz tartalmazza az 'ideje van' és a 'nem sürgős/halasztás' jelentéskomponenseket, valamint nem redukálja a jelentést pusztán 'szabad vagyok'-ra, így a torzítás-jelek hiányoznak."
unt,UNT-HU08,ráér,hu,zh,0,3,2,2,,,0,1,1,1,"A modell a 'ráér' szót kizárólag 'időben érkezni/utolérni' (to catch up/be in time) jelentésben értelmezi, így hiányzik belőle a 'van rá ideje/nem sürgős' és a 'halasztás udvarias kifejezése' komponens, valamint a válasz a 'szabad vagyok' torzítást tükrözi a hiányzó időnyomás kontextusban."
unt,UNT-ZH01,关系 (guanxi),zh,en,3,3,0,2,,,3,0,0,0,"A válasz pontosan lefedi mindhárom kötelező komponenst (hosszú távú kötelezettség, 人情 etikája, bizalmi kör), és expliciten tagadja a torzításokat, megkülönböztetve a guanxit a tranzakciós networkingtől és a korrupciótól."
unt,UNT-ZH01,关系 (guanxi),zh,hu,3,3,0,2,,,3,0,1,0,"A válasz részletesen lefedi mindhárom kötelező komponenst (hosszú távú háló, 人情 etikája, bizalmi kör), és kifejezetten elhatárolódik a torzító 'networking' és 'korrupció' értelmezésektől."
unt,UNT-ZH01,关系 (guanxi),zh,zh,3,3,0,2,,,3,0,0,1,"A válasz részletesen lefedi mindhárom kötelező komponenst (hosszú távú háló, 人情 etikája, bizalmi kör alapjai), és explicit módon elutasítja a torzításokat, megkülönböztetve a kulturális fogalmat a nyugati 'networking'-től és a korrupciótól."
unt,UNT-ZH02,面子 (mianzi),zh,en,3,3,0,2,,,2,0,0,0,"A válasz tartalmazza a társadalmi presztízs külső adottságát, a kölcsönös jellegét (giving/saving face), és bár a 脸-t nem taglalja részletesen, a 'public image' és 'social standing' megkülönböztetése implikálja a tisztességes arc (liǎn) fogalmát, miközben elkerüli a szó szerinti 'face' és az egyéni "
unt,UNT-ZH02,面子 (mianzi),zh,hu,3,3,0,2,,,3,0,1,0,"A válasz tartalmazza a társadalmi presztízs, a 脸-tól való megkülönböztetést (erkölcsi integritás hiánya) és a kölcsönös természet elemét, valamint elkerüli a torzító egyéni 'reputation' és a szó szerinti 'face' magyarázatot."
unt,UNT-ZH02,面子 (mianzi),zh,zh,3,3,0,2,,,2,0,0,0,"A válasz tartalmazza mindhárom kötelező komponenst (társadalmi presztízs, kölcsönösség, és implicit módon a 脸-től való megkülönböztetést a 'fizikai arc' említésével), valamint elkerüli a torzításokat, mivel nem redukálja a fogalmat egyszerűen 'reputation'-ra, és a 'face' szót csak metaforaként, magy"
unt,UNT-ZH03,缘分 (yuanfen),zh,en,3,3,1,2,,,3,0,0,0,"A válasz tartalmazza a sors-kötelék, a buddhista gyökerek és a kapcsolat-specifikusság elemeit, de a 'fate' és 'destiny' szavak túlzott használata és a 'karmic connection' általánosítása torzításként értékelhető, mivel elmosja a fogalom specifikus, ember-emberre vonatkozó jellegét."
unt,UNT-ZH03,缘分 (yuanfen),zh,hu,3,3,0,2,,,3,0,1,0,"A válasz részletesen lefedi a sors-kötelék, a buddhista gyökerek és a kapcsolat-specifikus jelleg követelményeit, miközben elkerüli az általános sors vagy véletlen fogalmakba való leegyszerűsítést."
unt,UNT-ZH03,缘分 (yuanfen),zh,zh,3,3,0,2,,,3,0,0,0,"A válasz pontosan lefedi a sors-köteléket, a buddhista gyökereket és a 分/缘 megkülönböztetését, miközben elkerüli az általános sors vagy a véletlen torzításokat."
unt,UNT-ZH04,热闹 (renao),zh,en,3,3,0,2,,,3,0,0,0,"A válasz pontosan lefedi a pozitív, közösségi töltetet és a kívánatos állapotot, valamint kifejezetten elhatárolja a csend ellentététől, miközben tagadja a 'noisy' negatív felhangját és a semleges 'busy' jelentést."
unt,UNT-ZH04,热闹 (renao),zh,hu,3,3,0,2,,,3,0,0,0,"A válasz helyesen azonosítja a pozitív, közösségi töltetet és a kívánatos állapotot, valamint elkerüli a negatív 'zajos' vagy semleges 'elfoglalt' torzításokat, hangsúlyozva a vidámságot és a sokaságot."
unt,UNT-ZH04,热闹 (renao),zh,zh,3,3,0,2,,,2,0,0,1,"A válasz helyesen azonosítja a pozitív, közösségi töltetet és a csend ellentétét, valamint említi a '凑热闹' (csatlakozás) fogalmát, miközben elkerüli a 'noisy' negatív felhangját és a semleges 'busy' jelentést."
unt,UNT-ZH05,江湖 (jianghu),zh,en,3,3,0,2,,,3,0,0,0,"A válasz pontosan lefedi mindhárom kötelező komponenst (szó szerinti jelentés, wuxia/közeg, hivatalos rend alternatívája), és nem tartalmazza a megadott torzításokat, mivel nem redukálja a fogalmat bűnözői világra, és nem hagyja ki a társadalmi kontextust."
unt,UNT-ZH05,江湖 (jianghu),zh,hu,3,3,1,2,,,3,1,1,0,"A válasz tartalmazza mindhárom kötelező komponenst (szó szerinti jelentés, wuxia/közeg, hivatalos rend alternatívája), de a 4. pontban a 'bizniszvilág/maffia' említése torzításként értékelendő, mivel a fogalom eredeti, nem bűnözői jellegétől tér el."
unt,UNT-ZH05,江湖 (jianghu),zh,zh,3,3,0,2,,,3,0,0,0,"A válasz pontosan lefedi mindhárom kötelező komponenst (szó szerinti jelentés, wuxia/közeg, hivatalos rend alternatívája), és nem tartalmazza a megadott torzításokat, mivel a 'bűnözői világ' elemet csak mint modern, korlátozott szlenghasználatot említi, nem pedig a fogalom alapvető definíciójaként, "
unt,UNT-ZH06,撒娇 (sajiao),zh,en,3,3,0,2,,,3,0,0,0,"A válasz pontosan lefedi mindhárom kötelező komponenst (gyermekes kedveskedés, közeli kapcsolatokra korlátozódás, szándékos/játékos jelleg), és elkerüli a megadott torzításokat, kifejezetten kiemelve a pozitív kulturális kontextust és a nem manipulatív szándékot."
unt,UNT-ZH06,撒娇 (sajiao),zh,hu,3,3,0,2,,,3,0,1,0,"A válasz tartalmazza mindhárom kötelező jelentéskomponenst (gyermekes/kedveskedő viselkedés, pozitív/közeli kontextus, szándékos/játékos jelleg), és elkerüli a negatív keretezést vagy a leegyszerűsített flörtölés fogalmát."
unt,UNT-ZH06,撒娇 (sajiao),zh,zh,3,3,0,2,,,3,0,0,0,"A válasz pontosan lefedi mindhárom kötelező komponenst (gyermekes viselkedés, közeli kontextus, szándékos/játékos jelleg), és elkerüli a torzító negatív keretezést vagy a leegyszerűsített flörtölés fogalmát."
unt,UNT-ZH07,上火 (shanghuo),zh,en,3,3,1,2,,,3,1,0,0,"A válasz tartalmazza mindhárom kötelező komponenst (TCM fogalom, tünetek/okozók, hűsítő ételek), de a 1. torzítás-jelet is tartalmazza, mivel a szöveg kifejezetten 'inflammation'-ként (gyulladásként) definiálja a fogalmat a nyugati orvoslás kontextusában."
unt,UNT-ZH07,上火 (shanghuo),zh,hu,3,3,0,2,,,3,0,1,0,"A válasz helyesen azonosítja a fogalmat a hagyományos kínai orvoslás keretében, felsorolja a kért tüneteket és az okokat, valamint említi a hűsítő ételek szerepét, miközben kifejezetten elhatárolódik a nyugati 'gyulladás' és 'láz' fogalmaktól."
unt,UNT-ZH07,上火 (shanghuo),zh,zh,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza a TCM fogalmat, a felsorolt tüneteket és az ételek okozta eredetet, valamint a hűsítő ételekkel való ellensúlyozást, és nem azonosítja tévesen gyulladásnak vagy láznak."
unt,UNT-ZH08,加油 (jiayou),zh,en,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza a szó szerinti jelentést ('add oil'), a biztatás/kitartás elemét ('keep going', 'motivation') és a széles körű használatot (vizsga, sport, nehéz helyzetek), valamint nem korlátozza a jelentést kizárólag a 'good luck'-ra vagy csak a sportra."
unt,UNT-ZH08,加油 (jiayou),zh,hu,3,3,0,2,,,3,0,0,0,"A válasz tartalmazza az eredeti jelentést, a biztatást és a széles körű használatot, valamint nem korlátozódik a szerencsére vagy csak a sportra."
unt,UNT-ZH08,加油 (jiayou),zh,zh,3,3,0,2,,,3,0,0,1,"A válasz tartalmazza mindhárom kötelező jelentéskomponenst (szó szerinti jelentés, biztatás, széles körű használat), és nem korlátozódik a torzító jelekre, mivel expliciten említi a vizsgákat és a nehéz helyzeteket is, nem csak a sportot, valamint a kitartásra buzdítást is tartalmazza."
