item_id,group,lang,judge,review_claude,egyetert,indoklas
ZH02,ZH,en,helytelen,helytelen,1,
ZH02,ZH,hu,helytelen,helytelen,1,
ZH02,ZH,zh,helytelen,helytelen,1,
ZH03,ZH,en,helytelen,hallucinacio,0,"„Panda, Giant Panda, Giant Panda” — értelmetlen, kitalált felsorolás."
ZH03,ZH,hu,helytelen,helytelen,1,
ZH03,ZH,zh,helytelen,helytelen,1,
ZH04,ZH,en,helytelen,helytelen,1,
ZH04,ZH,hu,helytelen,helytelen,1,
ZH04,ZH,zh,helyes,helyes,1,
ZH05,ZH,en,helyes,helyes,1,
ZH05,ZH,hu,helyes,helyes,1,
ZH05,ZH,zh,helyes,helyes,1,
ZH06,ZH,en,helyes,helyes,1,
ZH06,ZH,hu,helytelen,helytelen,1,
ZH06,ZH,zh,helytelen,helytelen,1,
ZH07,ZH,en,helytelen,hallucinacio,0,"Wuyi Mountain mint fő szentély, magabiztos részletekkel — kitalált."
ZH07,ZH,hu,helytelen,helytelen,1,
ZH07,ZH,zh,hallucinacio,hallucinacio,1,
ZH08,ZH,en,helytelen,reszben,0,"Két alapanyagból az egyik (glutinous rice) helyes, a másik (red beans) téves — a várt: vörös datolya."
ZH08,ZH,hu,helytelen,helytelen,1,
ZH08,ZH,zh,helyes,helyes,1,
ZH09,ZH,en,helyes,helyes,1,
ZH09,ZH,hu,helyes,helyes,1,
ZH09,ZH,zh,helyes,helyes,1,
ZH10,ZH,en,helytelen,helytelen,1,
ZH10,ZH,hu,helyes,helyes,1,
ZH10,ZH,zh,helytelen,helytelen,1,
ZH11,ZH,en,helytelen,helytelen,1,
ZH11,ZH,hu,helyes,helyes,1,
ZH11,ZH,zh,helytelen,helytelen,1,
ZH12,ZH,en,helyes,helyes,1,
ZH12,ZH,hu,helytelen,helytelen,1,
ZH12,ZH,zh,helyes,helyes,1,
ZH13,ZH,en,helyes,helyes,1,
ZH13,ZH,hu,helyes,helyes,1,
ZH13,ZH,zh,helyes,helyes,1,
ZH14,ZH,en,helyes,helyes,1,
ZH14,ZH,hu,helytelen,helytelen,1,
ZH14,ZH,zh,helyes,helyes,1,
ZH15,ZH,en,helyes,helyes,1,
ZH15,ZH,hu,helyes,helyes,1,
ZH15,ZH,zh,helyes,helyes,1,
ZH16,ZH,en,helyes,helyes,1,
ZH16,ZH,hu,helytelen,helytelen,1,
ZH16,ZH,zh,helyes,helyes,1,
ZH17,ZH,en,helyes,helyes,1,
ZH17,ZH,hu,helytelen,helytelen,1,
ZH17,ZH,zh,helytelen,helytelen,1,
ZH18,ZH,en,helyes,helyes,1,
ZH18,ZH,hu,helyes,helyes,1,
ZH18,ZH,zh,helyes,helyes,1,
ZH19,ZH,en,helytelen,helytelen,1,
ZH19,ZH,hu,helytelen,helytelen,1,
ZH19,ZH,zh,helyes,helyes,1,
